"Eating/Hygeine/Bathroom/Shopping","4/8/18 2:20 PM","4/8/18 2:32 PM","0.2","","","","","",""
"TV/News/Entertainment/Music","4/8/18 2:32 PM","4/8/18 2:35 PM","0.05","","","","","",""
"Education/Reading/Class","4/8/18 2:35 PM","4/8/18 3:00 PM","0.42","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/8/18 3:00 PM","4/8/18 3:15 PM","0.25","","","","","",""
"Family/Friends/Socializing","4/8/18 3:16 PM","4/8/18 3:18 PM","0.03","","","","","",""
"Education/Reading/Class","4/8/18 3:18 PM","4/8/18 4:10 PM","0.87","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/8/18 4:10 PM","4/8/18 4:20 PM","0.17","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/8/18 4:21 PM","4/8/18 4:37 PM","0.27","","","","","",""
"Shallow Work/Planning","4/8/18 4:37 PM","4/8/18 4:50 PM","0.22","","","","","",""
"Education/Reading/Class","4/8/18 4:50 PM","4/8/18 6:00 PM","1.17","","","","","",""
"Family/Friends/Socializing","4/8/18 6:00 PM","4/8/18 9:53 PM","3.88","","","","","",""
"Education/Reading/Class","4/8/18 9:53 PM","4/8/18 10:39 PM","0.77","","","","","",""
"Sleeping/Napping","4/8/18 10:39 PM","4/9/18 7:25 AM","8.77","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/9/18 7:25 AM","4/9/18 7:53 AM","0.47","","","","","",""
"Shallow Work/Planning","4/9/18 7:53 AM","4/9/18 8:02 AM","0.15","","","","","",""
"Education/Reading/Class","4/9/18 8:02 AM","4/9/18 9:37 AM","1.58","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/9/18 9:37 AM","4/9/18 9:50 AM","0.22","","","","","",""
"Shallow Work/Planning","4/9/18 9:50 AM","4/9/18 10:08 AM","0.3","","","","","",""
"Shallow Work/Planning","4/9/18 10:15 AM","4/9/18 10:45 AM","0.5","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/9/18 10:45 AM","4/9/18 10:50 AM","0.08","","","","","",""
"Family/Friends/Socializing","4/9/18 10:25 AM","4/9/18 11:00 AM","0.58","","","","","",""
"Education/Reading/Class","4/9/18 11:00 AM","4/9/18 11:53 AM","0.88","","","","","",""
